date,amount,category,description,clean_description,is_fraud
2025-02-02 15:31:58,0.44,Food,Issue law fear fine economic smile.,Allow always this.,0
2023-08-17 11:26:05,66.76,Food,Trade type training hand effect.,Finally focus own.,0
2024-07-21 13:51:04,99.78,Shopping,Glass strategy woman whether bank weight.,Mind mission.,0
2024-09-08 07:12:18,77.1,Food,Will structure sport growth.,Many analysis begin.,0
2020-04-19 12:21:34,70.28,Transport,Opportunity ago wish partner behind.,Some beautiful read.,0
2023-02-09 08:29:59,36.83,Transport,Spring already whole turn free.,Capital now get.,0
2020-12-18 09:19:16,88.76,Transport,Agent heavy time maintain discussion.,Often peace speak.,0
2020-07-31 07:19:00,23.62,Shopping,Red camera letter off rich. Indicate physical or.,Contain music fire.,0
2025-01-28 18:01:16,31.75,Food,Building right security all.,Situation there.,1
2024-07-04 09:18:35,67.23,Transport,Happy talk across per too loss.,Network.,0
2021-06-17 10:01:05,63.68,Entertainment,Treatment ever into possible coach.,Picture list notice.,0
2021-11-01 14:22:30,53.24,Entertainment,Movement us glass model commercial.,Issue management.,0
2021-03-28 14:39:38,14.13,Shopping,Would team back sure.,Stock allow nice.,0
2023-08-12 03:27:33,74.19,Entertainment,Data wait brother worry.,Perhaps.,0
2020-09-08 11:49:17,39.4,Food,Foot treatment eat per language something better.,Within interesting.,0
2023-03-16 18:30:22,91.26,Bills,Enter describe rule return indeed consumer house.,Seem specific task.,0
2025-01-01 13:40:06,25.41,Transport,Them best city attorney production hold even.,That somebody.,0
2021-12-25 22:51:24,10.4,Shopping,Wait popular should several final.,Benefit purpose.,1
2022-06-09 15:55:00,35.16,Transport,Season any their. Current region area.,Three direction.,0
2025-03-20 21:04:51,0.99,Transport,Exactly authority go statement.,Member plant.,0
2021-06-05 14:44:53,27.21,Food,Into benefit human involve hour.,Writer small down.,0
2020-09-29 05:59:20,36.58,Food,Fill avoid close discussion. Before red theory.,Mention small read.,1
2022-03-20 03:56:10,55.23,Shopping,Scientist bank generation might certain our.,Continue west.,0
2025-02-24 14:21:47,77.33,Entertainment,Do name race set culture. Room become miss huge.,Interesting bank.,0
2022-05-05 21:20:04,67.79,Entertainment,Between live decide doctor drop girl.,Challenge already.,0
2022-08-22 02:11:33,64.05,Entertainment,Seem system interest.,Security recently.,0
2023-05-26 10:27:41,20.54,Food,Traditional moment leader lay.,Fast together.,0
2022-07-26 10:20:04,95.51,Entertainment,Discover yet property arrive view down.,Firm put news.,0
2022-03-24 15:39:02,54.51,Entertainment,Serious generation military option.,May knowledge wind.,0
2022-05-20 18:59:36,65.89,Bills,Whole picture food radio.,Final.,0
2020-12-15 07:49:40,67.83,Shopping,What figure value unit send consumer.,Threat could.,0
2020-01-30 03:36:47,22.95,Shopping,Final town safe accept avoid economy bill TV.,Tough serious.,0
2024-10-06 00:44:25,39.44,Shopping,Paper music people moment natural current home.,World foreign.,0
2022-01-15 23:02:30,83.95,Shopping,Mrs listen discussion enjoy push state turn.,Development large.,0
2020-11-25 13:31:20,47.98,Entertainment,Almost model visit art.,Morning ever head.,0
2020-01-29 05:53:34,5.33,Transport,Art anyone natural message star run blue.,Opportunity now.,1
2023-03-05 06:54:21,58.42,Food,Look hear almost or economy very list.,Offer PM race.,0
2024-09-15 11:10:37,97.62,Food,Character his energy happen usually later.,Human page base arm.,0
2024-07-25 20:43:46,69.48,Food,International around poor base such.,Often decade.,0
2024-07-10 14:59:37,14.46,Entertainment,Important break media history certain daughter.,Soldier drive.,0
2022-09-29 07:56:26,96.41,Food,Give under worry couple particularly month.,Enter worry speak.,0
2022-05-01 18:49:21,82.5,Food,Necessary sea claim.,Face ability seek.,0
2020-10-19 12:03:14,71.82,Food,Mr family four place.,Themselves news.,0
2020-09-19 07:16:27,24.17,Transport,Effect mouth book front mission same language.,Dinner ahead region.,0
2021-02-27 11:53:03,9.23,Entertainment,Against treatment no watch color blue.,Bill decide modern.,0
2024-11-25 14:44:00,90.54,Shopping,Eye require improve policy true them subject.,Include he color.,0
2023-07-13 06:25:32,96.04,Bills,House well address store direction fear.,Ready service three.,0
2023-08-19 10:46:36,77.14,Food,Color yourself though get new hard card trial.,Example.,0
2024-09-29 11:16:09,49.81,Transport,Book true brother ball.,Or yard stuff lot.,0
2025-02-01 11:49:46,83.48,Bills,Small begin base option.,Well already style.,0
2024-09-14 10:33:09,92.23,Entertainment,Citizen call yes car modern.,Perhaps where power.,0
2023-06-13 19:24:48,41.89,Bills,Painting probably study throughout look during.,Try explain score.,0
2024-08-28 12:42:28,68.03,Shopping,Find cell in officer character rate every.,Political begin.,0
2021-08-11 08:34:27,84.21,Bills,Analysis west rule project ahead.,Sort long teach set.,0
2020-10-07 13:59:29,39.44,Bills,Century first law next main total discussion.,Week type.,0
2021-09-23 13:09:32,6.15,Food,Evening lot service nice soldier Republican.,Likely so.,0
2023-11-23 01:46:05,79.64,Food,Magazine check sister agent month happy entire.,Chair herself claim.,0
